CHR_promoter	startPOS_promoter	endPOS_promoter	source_promoter	CHR_mir	startPOS_mir	endPOS_mir	kind_mir	score_mir	strand_mir	annotation_mir
chr1	37944178	37946229	Chesi, A. et al.	chr1	37945831	37945890	miRNA_primary_transcript	1	+	ID=MI0022577;Alias=MI0022577;Name=hsa-mir-6732
chr1	37965846	37966692	Chesi, A. et al.	chr1	37966536	37966595	miRNA_primary_transcript	1	-	ID=MI0019136;Alias=MI0019136;Name=hsa-mir-5581
chr1	38554192	38555243	Chesi, A. et al.	chr1	38554903	38555001	miRNA_primary_transcript	1	+	ID=MI0016060;Alias=MI0016060;Name=hsa-mir-3659
chr1	41218855	41220531	Chesi, A. et al.	chr1	41220027	41220118	miRNA_primary_transcript	1	+	ID=MI0000749;Alias=MI0000749;Name=hsa-mir-30e
chr1	41220456	41223044	miRBase_v22_upstream_2k5	chr1	41222956	41223044	miRNA_primary_transcript	1	+	ID=MI0000736;Alias=MI0000736;Name=hsa-mir-30c-1
chr1	43637282	43638062	Chesi, A. et al.	chr1	43637323	43637383	miRNA_primary_transcript	1	-	ID=MI0022578;Alias=MI0022578;Name=hsa-mir-6733
chr1	43830312	43830755	Chesi, A. et al.	chr1	43830319	43830386	miRNA_primary_transcript	1	-	ID=MI0022579;Alias=MI0022579;Name=hsa-mir-6734
chr1	43914056	43914323	Chesi, A. et al.	chr1	43914210	43914282	miRNA_primary_transcript	1	+	ID=MI0022580;Alias=MI0022580;Name=hsa-mir-6735
chr1	44303418	44304541	Chesi, A. et al.	chr1	44304294	44304355	miRNA_primary_transcript	1	+	ID=MI0020356;Alias=MI0020356;Name=hsa-mir-6079
chr1	45011155	45011720	Chesi, A. et al.	chr1	45011165	45011224	miRNA_primary_transcript	1	+	ID=MI0019141;Alias=MI0019141;Name=hsa-mir-5584
chr1	51523586	51526375	Chesi, A. et al.	chr1	51525509	51525577	miRNA_primary_transcript	1	+	ID=MI0016758;Alias=MI0016758;Name=hsa-mir-4421
chr1	51523586	51526375	Chesi, A. et al.	chr1	51525690	51525775	miRNA_primary_transcript	1	+	ID=MI0022211;Alias=MI0022211;Name=hsa-mir-6500
chr1	52301841	52302278	Chesi, A. et al.	chr1	52302016	52302074	miRNA_primary_transcript	1	-	ID=MI0003941;Alias=MI0003941;Name=hsa-mir-761
chr1	54519520	54519895	Chesi, A. et al.	chr1	54519752	54519827	miRNA_primary_transcript	1	+	ID=MI0017426;Alias=MI0017426;Name=hsa-mir-4781
chr1	55691099	55691968	Chesi, A. et al.	chr1	55691314	55691396	miRNA_primary_transcript	1	+	ID=MI0016759;Alias=MI0016759;Name=hsa-mir-4422
chr1	60198158	60199193	Chesi, A. et al.	chr1	60198899	60198968	miRNA_primary_transcript	1	-	ID=MI0017345;Alias=MI0017345;Name=hsa-mir-4711
chr1	62309247	62311848	miRBase_v22_upstream_2k5	chr1	62311747	62311848	miRNA_primary_transcript	1	+	ID=MI0039734;Alias=MI0039734;Name=hsa-mir-12132
chr1	62544195	62544853	Chesi, A. et al.	chr1	62544458	62544531	miRNA_primary_transcript	1	+	ID=MI0014128;Alias=MI0014128;Name=hsa-mir-3116-1
chr1	62544195	62544853	Chesi, A. et al.	chr1	62544461	62544528	miRNA_primary_transcript	1	-	ID=MI0014129;Alias=MI0014129;Name=hsa-mir-3116-2
chr1	63792538	63792955	Chesi, A. et al.	chr1	63792596	63792655	miRNA_primary_transcript	1	-	ID=MI0020345;Alias=MI0020345;Name=hsa-mir-6068
chr1	65044997	65047097	Chesi, A. et al.	chr1	65045530	65045606	miRNA_primary_transcript	1	+	ID=MI0017441;Alias=MI0017441;Name=hsa-mir-4794
chr1	65523322	65523559	Chesi, A. et al.	chr1	65523438	65523525	miRNA_primary_transcript	1	-	ID=MI0016072;Alias=MI0016072;Name=hsa-mir-3671
chr1	65523890	65524280	Chesi, A. et al.	chr1	65524117	65524191	miRNA_primary_transcript	1	-	ID=MI0000103;Alias=MI0000103;Name=hsa-mir-101-1
chr1	67093983	67094213	Chesi, A. et al.	chr1	67094123	67094200	miRNA_primary_transcript	1	+	ID=MI0014130;Alias=MI0014130;Name=hsa-mir-3117
chr1	68648812	68649342	Chesi, A. et al.	chr1	68649201	68649293	miRNA_primary_transcript	1	-	ID=MI0006397;Alias=MI0006397;Name=hsa-mir-1262
chr1	71532774	71533584	Chesi, A. et al.	chr1	71533314	71533399	miRNA_primary_transcript	1	-	ID=MI0000483;Alias=MI0000483;Name=hsa-mir-186
chr1	77524603	77526357	Chesi, A. et al.	chr1	77525828	77525887	miRNA_primary_transcript	1	+	ID=MI0023616;Alias=MI0023616;Name=hsa-mir-7156
chr1	85598828	85600469	Chesi, A. et al.	chr1	85599477	85599556	miRNA_primary_transcript	1	+	ID=MI0016760;Alias=MI0016760;Name=hsa-mir-4423
chr1	86823347	86824038	Chesi, A. et al.	chr1	86823315	86823370	miRNA_primary_transcript	1	-	ID=MI0025526;Alias=MI0025526;Name=hsa-mir-7856
chr1	94312055	94315611	Chesi, A. et al.	chr1	94312388	94312467	miRNA_primary_transcript	1	+	ID=MI0005567;Alias=MI0005567;Name=hsa-mir-760
chr1	95006758	95009335	miRBase_v22_upstream_2k5	chr1	95009258	95009335	miRNA_primary_transcript	1	+	ID=MI0039735;Alias=MI0039735;Name=hsa-mir-12133
chr1	98509900	98511017	Chesi, A. et al.	chr1	98510798	98510907	miRNA_primary_transcript	1	-	ID=MI0012063;Alias=MI0012063;Name=hsa-mir-2682
chr1	98511017	98511891	Chesi, A. et al.	chr1	98511626	98511727	miRNA_primary_transcript	1	-	ID=MI0000454;Alias=MI0000454;Name=hsa-mir-137
chr1	100746722	100746994	Chesi, A. et al.	chr1	100746797	100746864	miRNA_primary_transcript	1	+	ID=MI0003558;Alias=MI0003558;Name=hsa-mir-553
chr1	108439524	108439961	Chesi, A. et al.	chr1	108439845	108439926	miRNA_primary_transcript	1	+	ID=MI0025522;Alias=MI0025522;Name=hsa-mir-7852
chr1	110140164	110142358	Chesi, A. et al.	chr1	110141515	110141589	miRNA_primary_transcript	1	+	ID=MI0000239;Alias=MI0000239;Name=hsa-mir-197
chr1	113004399	113004742	Chesi, A. et al.	chr1	113004392	113004455	miRNA_primary_transcript	1	-	ID=MI0015855;Alias=MI0015855;Name=hsa-mir-4256
chr1	113422172	113424751	miRBase_v22_upstream_2k5	chr1	113424672	113424751	miRNA_primary_transcript	1	+	ID=MI0036558;Alias=MI0036558;Name=hsa-mir-11399
chr3	23375510	23375861	Chesi, A. et al.	chr1	117102646	117102733	miRNA_primary_transcript	1	-	ID=MI0016762;Alias=MI0016762;Name=hsa-mir-548ac
chr1	117211868	117214439	miRBase_v22_upstream_2k5	chr1	117214368	117214439	miRNA_primary_transcript	1	+	ID=MI0003776;Alias=MI0003776;Name=hsa-mir-320b-1
chr1	117635653	117638163	Chesi, A. et al.	chr1	117637265	117637350	miRNA_primary_transcript	1	+	ID=MI0005767;Alias=MI0005767;Name=hsa-mir-942
chr1	145584360	145584865	Chesi, A. et al.	chr1	145584422	145584480	miRNA_primary_transcript	1	+	ID=MI0022581;Alias=MI0022581;Name=hsa-mir-6736
chr1	147804609	147807190	miRGen_v3_TSS_2k5	chr1	147806603	147806678	miRNA_primary_transcript	1	-	ID=MI0017976;Alias=MI0017976;Name=hsa-mir-5087
chr1	147857934	147860515	miRBase_v22_upstream_2k5	chr1	147860434	147860515	miRNA_primary_transcript	1	+	ID=MI0020354;Alias=MI0020354;Name=hsa-mir-6077
chr1	150462321	150464886	miRBase_v22_upstream_2k5	chr1	150464821	150464886	miRNA_primary_transcript	1	+	ID=MI0022725;Alias=MI0022725;Name=hsa-mir-6878
chr1	150524355	150524542	Chesi, A. et al.	chr1	150524405	150524490	miRNA_primary_transcript	1	+	ID=MI0015856;Alias=MI0015856;Name=hsa-mir-4257
chr1	151518200	151519103	Chesi, A. et al.	chr1	151518272	151518367	miRNA_primary_transcript	1	+	ID=MI0003559;Alias=MI0003559;Name=hsa-mir-554
chr1	153662095	153662657	Chesi, A. et al.	chr1	153662181	153662269	miRNA_primary_transcript	1	-	ID=MI0025919;Alias=MI0025919;Name=hsa-mir-8083
chr1	153934256	153935677	Chesi, A. et al.	chr1	153934827	153934896	miRNA_primary_transcript	1	-	ID=MI0022582;Alias=MI0022582;Name=hsa-mir-6737
chr14	100139777	100140543	Chesi, A. et al.	chr1	154076997	154077068	miRNA_primary_transcript	1	-	ID=MI0019305;Alias=MI0019305;Name=hsa-mir-5698
chr1	154165280	154166434	Chesi, A. et al.	chr1	154166141	154166219	miRNA_primary_transcript	1	-	ID=MI0005545;Alias=MI0005545;Name=hsa-mir-190b
chr1	154947771	154949651	Chesi, A. et al.	chr1	154948169	154948259	miRNA_primary_transcript	1	+	ID=MI0015857;Alias=MI0015857;Name=hsa-mir-4258
chr1	155164962	155165124	Chesi, A. et al.	chr1	155164968	155165063	miRNA_primary_transcript	1	+	ID=MI0003560;Alias=MI0003560;Name=hsa-mir-92b
chr1	155316143	155316479	Chesi, A. et al.	chr1	155316141	155316236	miRNA_primary_transcript	1	-	ID=MI0003561;Alias=MI0003561;Name=hsa-mir-555
chr1	155920678	155921142	Chesi, A. et al.	chr1	155921064	155921127	miRNA_primary_transcript	1	-	ID=MI0022583;Alias=MI0022583;Name=hsa-mir-6738
chr1	156389803	156390486	Chesi, A. et al.	chr1	156390133	156390221	miRNA_primary_transcript	1	-	ID=MI0000466;Alias=MI0000466;Name=hsa-mir-9-1
chr1	156905940	156906199	Chesi, A. et al.	chr1	156905923	156906036	miRNA_primary_transcript	1	-	ID=MI0005116;Alias=MI0005116;Name=hsa-mir-765
chr1	159869732	159870371	Chesi, A. et al.	chr1	159869769	159869869	miRNA_primary_transcript	1	-	ID=MI0015858;Alias=MI0015858;Name=hsa-mir-4259
chr1	161196796	161197626	Chesi, A. et al.	chr1	161196976	161197051	miRNA_primary_transcript	1	+	ID=MI0018166;Alias=MI0018166;Name=hsa-mir-5187
chr1	162125902	162126910	Chesi, A. et al.	chr1	162126897	162126972	miRNA_primary_transcript	1	+	ID=MI0017282;Alias=MI0017282;Name=hsa-mir-4654
chr1	162312134	162312603	Chesi, A. et al.	chr1	162312336	162312430	miRNA_primary_transcript	1	+	ID=MI0003562;Alias=MI0003562;Name=hsa-mir-556
chr1	165876739	165877344	Chesi, A. et al.	chr1	165877158	165877213	miRNA_primary_transcript	1	+	ID=MI0016058;Alias=MI0016058;Name=hsa-mir-3658
chr1	166123984	166124146	Chesi, A. et al.	chr1	166123980	166124035	miRNA_primary_transcript	1	-	ID=MI0005713;Alias=MI0005713;Name=hsa-mir-921
chr1	167965398	167967964	miRBase_v22_upstream_2k5	chr1	167967898	167967964	miRNA_primary_transcript	1	+	ID=MI0006436;Alias=MI0006436;Name=hsa-mir-1255b-2
chr1	168344743	168345251	Chesi, A. et al.	chr1	168344762	168344859	miRNA_primary_transcript	1	+	ID=MI0003563;Alias=MI0003563;Name=hsa-mir-557
chr1	170120482	170120861	Chesi, A. et al.	chr1	170120519	170120603	miRNA_primary_transcript	1	-	ID=MI0014134;Alias=MI0014134;Name=hsa-mir-3119-1
chr1	170120482	170120861	Chesi, A. et al.	chr1	170120519	170120603	miRNA_primary_transcript	1	+	ID=MI0014135;Alias=MI0014135;Name=hsa-mir-3119-2
chr1	171070928	171071467	Chesi, A. et al.	chr1	171070869	171070947	miRNA_primary_transcript	1	-	ID=MI0006357;Alias=MI0006357;Name=hsa-mir-1295a
chr1	171068380	171070939	miRBase_v22_upstream_2k5	chr1	171070880	171070939	miRNA_primary_transcript	1	+	ID=MI0019146;Alias=MI0019146;Name=hsa-mir-1295b
chr1	172107428	172108606	Chesi, A. et al.	chr1	172107938	172108047	miRNA_primary_transcript	1	-	ID=MI0000290;Alias=MI0000290;Name=hsa-mir-214
chr1	172107428	172108606	Chesi, A. et al.	chr1	172107948	172108028	miRNA_primary_transcript	1	+	ID=MI0014136;Alias=MI0014136;Name=hsa-mir-3120
chr1	172111175	172113784	miRBase_v22_upstream_2k5	chr1	172113675	172113784	miRNA_primary_transcript	1	-	ID=MI0000281;Alias=MI0000281;Name=hsa-mir-199a-2
chr1	175935006	175937615	miRBase_v22_upstream_2k5	chr1	175937506	175937615	miRNA_primary_transcript	1	-	ID=MI0032314;Alias=MI0032314;Name=hsa-mir-1843
chr1	176998327	176998731	Chesi, A. et al.	chr1	176998499	176998581	miRNA_primary_transcript	1	-	ID=MI0003123;Alias=MI0003123;Name=hsa-mir-488
chr1	178646811	178647037	Chesi, A. et al.	chr1	178646884	178646969	miRNA_primary_transcript	1	+	ID=MI0016763;Alias=MI0016763;Name=hsa-mir-4424
chr1	179770559	179773160	miRBase_v22_upstream_2k5	chr1	179773059	179773160	miRNA_primary_transcript	1	+	ID=MI0039718;Alias=MI0039718;Name=hsa-mir-12116
chr1	180404949	180407525	miRBase_v22_upstream_2k5	chr1	180407449	180407525	miRNA_primary_transcript	1	-	ID=MI0014137;Alias=MI0014137;Name=hsa-mir-3121
chr1	192685440	192686412	Chesi, A. et al.	chr1	192685458	192685520	miRNA_primary_transcript	1	+	ID=MI0016765;Alias=MI0016765;Name=hsa-mir-4426
chr1	193105529	193105897	Chesi, A. et al.	chr1	193105633	193105713	miRNA_primary_transcript	1	+	ID=MI0006425;Alias=MI0006425;Name=hsa-mir-1278
chr1	196551504	196552369	Chesi, A. et al.	chr1	196551543	196551611	miRNA_primary_transcript	1	-	ID=MI0017372;Alias=MI0017372;Name=hsa-mir-4735
chr1	198902576	198905157	miRGen_v3_TSS_2k5	chr1	198828002	198828111	miRNA_primary_transcript	1	-	ID=MI0000270;Alias=MI0000270;Name=hsa-mir-181b-1
chr1	198902576	198905157	miRGen_v3_TSS_2k5	chr1	198828173	198828282	miRNA_primary_transcript	1	-	ID=MI0000289;Alias=MI0000289;Name=hsa-mir-181a-1
chr1	201687313	201688741	Chesi, A. et al.	chr1	201688636	201688755	miRNA_primary_transcript	1	+	ID=MI0018170;Alias=MI0018170;Name=hsa-mir-5191
chr1	201777705	201777918	Chesi, A. et al.	chr1	201777739	201777830	miRNA_primary_transcript	1	+	ID=MI0006321;Alias=MI0006321;Name=hsa-mir-1231
chr1	201832430	201832645	Chesi, A. et al.	chr1	201832501	201832575	miRNA_primary_transcript	1	+	ID=MI0022584;Alias=MI0022584;Name=hsa-mir-6739
chr1	201972073	201972375	Chesi, A. et al.	chr1	201972252	201972364	miRNA_primary_transcript	1	+	ID=MI0022585;Alias=MI0022585;Name=hsa-mir-6740
chr1	205417329	205417874	Chesi, A. et al.	chr1	205417430	205417526	miRNA_primary_transcript	1	-	ID=MI0000810;Alias=MI0000810;Name=hsa-mir-135b
chr1	206648060	206648853	Chesi, A. et al.	chr1	206648146	206648207	miRNA_primary_transcript	1	+	ID=MI0022706;Alias=MI0022706;Name=hsa-mir-6769b
chr1	207975102	207975873	Chesi, A. et al.	chr1	207975197	207975284	miRNA_primary_transcript	1	-	ID=MI0000735;Alias=MI0000735;Name=hsa-mir-29c
chr1	207994882	207997463	miRGen_v3_TSS_2k5	chr1	207975788	207975868	miRNA_primary_transcript	1	-	ID=MI0000107;Alias=MI0000107;Name=hsa-mir-29b-2
chr1	209605342	209605480	Chesi, A. et al.	chr1	209605478	209605587	miRNA_primary_transcript	1	+	ID=MI0000285;Alias=MI0000285;Name=hsa-mir-205
chr1	209796757	209797190	Chesi, A. et al.	chr1	209796789	209796855	miRNA_primary_transcript	1	-	ID=MI0015859;Alias=MI0015859;Name=hsa-mir-4260
chr1	212250372	212251091	Chesi, A. et al.	chr1	212250955	212251027	miRNA_primary_transcript	1	+	ID=MI0014138;Alias=MI0014138;Name=hsa-mir-3122
chr1	220290947	220291328	Chesi, A. et al.	chr1	220291195	220291304	miRNA_primary_transcript	1	-	ID=MI0000291;Alias=MI0000291;Name=hsa-mir-215
chr1	220291328	220291760	Chesi, A. et al.	chr1	220291499	220291583	miRNA_primary_transcript	1	-	ID=MI0000488;Alias=MI0000488;Name=hsa-mir-194-1
chr1	220373386	220374278	Chesi, A. et al.	chr1	220373880	220373961	miRNA_primary_transcript	1	-	ID=MI0006442;Alias=MI0006442;Name=hsa-mir-664a
chr1	224442242	224444812	miRBase_v22_upstream_2k5	chr1	224444742	224444812	miRNA_primary_transcript	1	-	ID=MI0003839;Alias=MI0003839;Name=hsa-mir-320b-2
chr1	224584753	224586087	Chesi, A. et al.	chr1	224585929	224586013	miRNA_primary_transcript	1	-	ID=MI0017380;Alias=MI0017380;Name=hsa-mir-4742
chr1	226108558	226110885	Chesi, A. et al.	chr1	226109780	226109842	miRNA_primary_transcript	1	-	ID=MI0022586;Alias=MI0022586;Name=hsa-mir-6741
chr1	228129075	228129584	Chesi, A. et al.	chr1	228129291	228129384	miRNA_primary_transcript	1	-	ID=MI0017876;Alias=MI0017876;Name=hsa-mir-5008
chr1	228284937	228285112	Chesi, A. et al.	chr1	228284964	228285042	miRNA_primary_transcript	1	+	ID=MI0016011;Alias=MI0016011;Name=hsa-mir-3620
chr1	228583601	228585864	Chesi, A. et al.	chr1	228584749	228584810	miRNA_primary_transcript	1	-	ID=MI0022587;Alias=MI0022587;Name=hsa-mir-6742
chr1	228649494	228650102	Chesi, A. et al.	chr1	228649775	228649853	miRNA_primary_transcript	1	+	ID=MI0017296;Alias=MI0017296;Name=hsa-mir-4666a
chr1	231155313	231155948	Chesi, A. et al.	chr1	231155574	231155670	miRNA_primary_transcript	1	-	ID=MI0006275;Alias=MI0006275;Name=hsa-mir-1182
chr1	233759768	233760686	Chesi, A. et al.	chr1	233759898	233759965	miRNA_primary_transcript	1	+	ID=MI0016766;Alias=MI0016766;Name=hsa-mir-4427
chr1	234441879	234442358	Chesi, A. et al.	chr1	234442213	234442285	miRNA_primary_transcript	1	+	ID=MI0017302;Alias=MI0017302;Name=hsa-mir-4671
chr1	235353538	235354139	Chesi, A. et al.	chr1	235353349	235353431	miRNA_primary_transcript	1	-	ID=MI0017392;Alias=MI0017392;Name=hsa-mir-4753
chr1	236016065	236018136	Chesi, A. et al.	chr1	236016300	236016360	miRNA_primary_transcript	1	-	ID=MI0007258;Alias=MI0007258;Name=hsa-mir-1537
chr1	237634235	237635643	Chesi, A. et al.	chr1	237634419	237634491	miRNA_primary_transcript	1	+	ID=MI0016767;Alias=MI0016767;Name=hsa-mir-4428
chr1	241295487	241296283	Chesi, A. et al.	chr1	241295572	241295646	miRNA_primary_transcript	1	+	ID=MI0014139;Alias=MI0014139;Name=hsa-mir-3123
chr1	243509028	243510183	Chesi, A. et al.	chr1	243509478	243509557	miRNA_primary_transcript	1	+	ID=MI0017308;Alias=MI0017308;Name=hsa-mir-4677
chr1	247365001	247365570	Chesi, A. et al.	chr1	247365269	247365362	miRNA_primary_transcript	1	-	ID=MI0016422;Alias=MI0016422;Name=hsa-mir-3916
chr1	249120106	249121063	Chesi, A. et al.	chr1	249120576	249120642	miRNA_primary_transcript	1	+	ID=MI0014140;Alias=MI0014140;Name=hsa-mir-3124
chr10	687384	687873	Chesi, A. et al.	chr10	687629	687718	miRNA_primary_transcript	1	-	ID=MI0019306;Alias=MI0019306;Name=hsa-mir-5699
chr10	2117861	2118550	Chesi, A. et al.	chr10	2118213	2118283	miRNA_primary_transcript	1	-	ID=MI0020349;Alias=MI0020349;Name=hsa-mir-6072
chr10	4032665	4033712	Chesi, A. et al.	chr10	4033352	4033451	miRNA_primary_transcript	1	+	ID=MI0020355;Alias=MI0020355;Name=hsa-mir-6078
chr10	6193637	6194514	Chesi, A. et al.	chr10	6194159	6194240	miRNA_primary_transcript	1	+	ID=MI0014183;Alias=MI0014183;Name=hsa-mir-3155a
chr10	6193637	6194514	Chesi, A. et al.	chr10	6194170	6194225	miRNA_primary_transcript	1	-	ID=MI0016839;Alias=MI0016839;Name=hsa-mir-3155b
chr10	12172590	12172947	Chesi, A. et al.	chr10	12172759	12172815	miRNA_primary_transcript	1	-	ID=MI0016840;Alias=MI0016840;Name=hsa-mir-548ak
chr10	12620519	12621432	Chesi, A. et al.	chr10	12620752	12620822	miRNA_primary_transcript	1	+	ID=MI0016841;Alias=MI0016841;Name=hsa-mir-4480
chr10	12694789	12695388	Chesi, A. et al.	chr10	12695137	12695196	miRNA_primary_transcript	1	-	ID=MI0016842;Alias=MI0016842;Name=hsa-mir-4481
chr9	109848505	109849225	Chesi, A. et al.	chr10	12767253	12767352	miRNA_primary_transcript	1	-	ID=MI0010637;Alias=MI0010637;Name=hsa-mir-548q
chr10	14424985	14425741	Chesi, A. et al.	chr10	14425199	14425276	miRNA_primary_transcript	1	-	ID=MI0015826;Alias=MI0015826;Name=hsa-mir-4293
