seID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	GSM733739.rep1.K27ac.Q20.noDup.sort.bam	GSM733697.rep1.Input.Q20.noDup.sort.bam	enhancerRank	isSuper
29_K27ac.rep1_peak_55936_lociStitched	chr5	172276731	172383909	29	53406	169534.1604	8702.8536	18	1
49_K27ac.rep1_peak_33926_lociStitched	chr2	36655027	36800761	49	61630	182007.1926	21524.9118	19	1
20_K27ac.rep1_peak_15689_lociStitched	chr12	65986620	66068835	20	44182	172248.6465	13088.628	20	1
23_K27ac.rep1_peak_13572_lociStitched	chr11	128321351	128400594	23	43131	165760.5074	11997.3902	21	1
9_K27ac.rep1_peak_11881_lociStitched	chr11	65238011	65276459	9	31650	156391.0848	3979.368	22	1
21_K27ac.rep1_peak_43177_lociStitched	chr3	11590091	11693422	21	41558	160679.705	11170.0811	23	1
28_K27ac.rep1_peak_64120_lociStitched	chr7	137593788	137687332	28	51890	161485.0072	12927.7808	24	1
33_K27ac.rep1_peak_5761_lociStitched	chr1	214535101	214668249	33	50112	165463.0196	18094.8132	25	1
50_K27ac.rep1_peak_29168_lociStitched	chr17	75280812	75474553	50	71612	153462.2461	9280.1939	26	1
21_K27ac.rep1_peak_53062_lociStitched	chr5	64397126	64506785	21	43088	154081.8609	11854.1379	27	1
25_K27ac.rep1_peak_10152_lociStitched	chr10	127858442	127959555	25	43626	152367.1797	12679.5702	28	1
17_K27ac.rep1_peak_45519_lociStitched	chr3	112322774	112418813	17	40475	149427.0801	12321.8037	29	1
12_K27ac.rep1_peak_60118_lociStitched	chr6	148812495	148860594	12	27356	143460.0774	6810.8184	30	1
17_K27ac.rep1_peak_6877_lociStitched	chr10	3797398	3903383	17	34066	146418.2775	12622.8135	31	1
34_K27ac.rep1_peak_32496_lociStitched	chr19	47349575	47494793	34	52888	145871.481	13548.8394	32	1
32_K27ac.rep1_peak_57915_lociStitched	chr6	52354813	52441794	32	58197	140944.0124	10107.1922	33	1
16_K27ac.rep1_peak_38050_lociStitched	chr2	204601795	204680137	16	29667	138500.8218	8155.4022	34	1
18_K27ac.rep1_peak_27730_lociStitched	chr17	38627413	38717868	18	27648	136849.3695	6666.5335	35	1
23_K27ac.rep1_peak_42211_lociStitched	chr22	30579511	30653013	23	37322	136978.3272	6843.0362	36	1
25_K27ac.rep1_peak_47163_lociStitched	chr3	171842748	171940347	25	41885	140796.3174	12443.8725	37	1
31_K27ac.rep1_peak_65059_lociStitched	chr8	23153967	23249567	31	40607	134901.16	8145.12	38	1
37_K27ac.rep1_peak_22534_lociStitched	chr15	48828464	48937810	37	52286	144959.9922	18523.2124	39	1
27_K27ac.rep1_peak_49112_lociStitched	chr4	57886143	57986742	27	48191	139500.6333	13077.87	40	1
13_K27ac.rep1_peak_40642_lociStitched	chr20	49942774	49985845	13	31090	129871.9863	4961.7792	41	1
11_K27ac.rep1_peak_17933_lociStitched	chr13	32315966	32368811	11	25087	129686.9145	7910.8965	42	1
26_K27ac.rep1_peak_41562_lociStitched	chr21	39612172	39725104	26	37968	136975.2228	16081.5168	43	1
23_K27ac.rep1_peak_22923_lociStitched	chr15	60645513	60720018	23	42058	129392.8335	10013.472	44	1
16_K27ac.rep1_peak_18011_lociStitched	chr13	33786929	33864741	16	36470	128140.8016	9578.6572	45	1
25_K27ac.rep1_peak_55639_lociStitched	chr5	158369343	158500899	25	42342	136778.7732	18509.9292	46	1
10_K27ac.rep1_peak_6380_lociStitched	chr1	234720618	234768260	10	27274	124807.7474	6731.8146	47	1
34_K27ac.rep1_peak_14622_lociStitched	chr12	27657665	27821223	34	48044	133921.2904	17026.3878	48	1
22_K27ac.rep1_peak_60459_lociStitched	chr6	158403295	158493211	22	39977	124290.8868	8407.146	49	1
23_K27ac.rep1_peak_52747_lociStitched	chr5	52626804	52727756	23	36843	129430.5592	13567.9488	50	1
15_K27ac.rep1_peak_70212_lociStitched	chr9	114765104	114837986	15	30990	123877.5354	8687.5344	51	1
15_K27ac.rep1_peak_35789_lociStitched	chr2	105974369	106027784	15	33221	121738.1265	6890.535	52	1
16_K27ac.rep1_peak_52385_lociStitched	chr5	34654969	34721780	16	33684	123059.1809	8338.0128	53	1
10_K27ac.rep1_peak_10668_lociStitched	chr11	12063348	12112172	10	20785	119765.272	5741.7024	54	1
10_K27ac.rep1_peak_6427_lociStitched	chr1	235090622	235134225	10	26112	118918.4619	5036.1465	55	1
23_K27ac.rep1_peak_39126_lociStitched	chr2	238291774	238392471	23	35478	121521.1396	11912.4551	56	1
11_K27ac.rep1_peak_70952_lociStitched	chr9	133698798	133742440	11	23620	114350.7684	4809.3484	57	1
29_K27ac.rep1_peak_12791_lociStitched	chr11	95919904	96074644	29	40795	128356.83	20503.05	58	1
23_K27ac.rep1_peak_45063_lociStitched	chr3	99344497	99441149	23	42732	120834.3304	13192.998	59	1
30_K27ac.rep1_peak_7763_lociStitched	chr10	33499820	33596646	30	37361	121690.9168	14407.7088	60	1
10_K27ac.rep1_peak_57194_lociStitched	chr6	30715067	30762014	10	21102	111470.9568	4225.23	61	1
16_K27ac.rep1_peak_2753_lociStitched	chr1	85985859	86052254	16	29496	119212.2225	12887.2695	62	1
7_K27ac.rep1_peak_42884_lociStitched	chr22	46450324	46504129	7	38288	109552.3605	3373.5735	63	1
11_K27ac.rep1_peak_47864_lociStitched	chr3	194275225	194320497	11	23097	110617.6048	4916.5392	64	1
14_K27ac.rep1_peak_9702_lociStitched	chr10	106051578	106111833	14	27793	111893.535	6760.611	65	1
12_K27ac.rep1_peak_26622_lociStitched	chr17	2115397	2168091	12	26381	110699.5552	5617.1804	66	1
15_K27ac.rep1_peak_28446_lociStitched	chr17	57829242	57888832	15	26756	110849.318	5881.533	67	1
26_K27ac.rep1_peak_46537_lociStitched	chr3	149250287	149372437	26	41752	119474.915	15329.825	68	1
24_K27ac.rep1_peak_35740_lociStitched	chr2	102635027	102765248	24	34378	120402.3366	16512.0228	69	1
39_K27ac.rep1_peak_38265_lociStitched	chr2	216228374	216341524	39	40961	116442.665	15309.195	70	1
4_K27ac.rep1_peak_65832_lociStitched	chr8	49310062	49345406	4	16508	105063.5744	4135.248	71	1
28_K27ac.rep1_peak_15711_lociStitched	chr12	66219401	66317091	28	40235	114150.765	13862.211	72	1
23_K27ac.rep1_peak_2699_lociStitched	chr1	85744393	85811056	23	30968	109300.6548	9179.4951	73	1
17_K27ac.rep1_peak_43348_lociStitched	chr3	16096744	16182783	17	29533	111652.8103	11727.1157	74	1
20_K27ac.rep1_peak_28238_lociStitched	chr17	48252935	48300323	20	40334	102377.0352	2994.9216	75	1
5_K27ac.rep1_peak_48336_lociStitched	chr4	13889182	13935332	5	18275	106435.745	7300.93	76	1
27_K27ac.rep1_peak_64715_lociStitched	chr8	13049824	13134838	27	33487	109719.0684	10805.2794	77	1
26_K27ac.rep1_peak_42459_lociStitched	chr22	36718858	36795699	26	47948	105072.3834	6508.4327	78	1
27_K27ac.rep1_peak_5312_lociStitched	chr1	201664749	201761699	27	43079	109165.7	10858.4	79	1
21_K27ac.rep1_peak_41191_lociStitched	chr21	30516803	30632106	21	32889	113342.849	15070.1021	80	1
16_K27ac.rep1_peak_64905_lociStitched	chr8	19026002	19097741	16	30057	106876.7622	8773.6797	81	1
11_K27ac.rep1_peak_44290_lociStitched	chr3	55168905	55239029	11	24377	106672.6288	9249.3556	82	1
18_K27ac.rep1_peak_9302_lociStitched	chr10	95185945	95236827	18	27708	102135.4386	5474.9032	83	1
21_K27ac.rep1_peak_49447_lociStitched	chr4	77898566	77965860	21	30771	106210.1202	10073.9118	84	1
23_K27ac.rep1_peak_52012_lociStitched	chr5	14145155	14209847	23	37218	103850.0676	9703.8	85	1
9_K27ac.rep1_peak_18002_lociStitched	chr13	33726798	33771525	9	20548	100971.2025	7290.501	86	1
25_K27ac.rep1_peak_36871_lociStitched	chr2	161189796	161285489	25	39541	106209.6607	12803.7234	87	1
20_K27ac.rep1_peak_20116_lociStitched	chr14	51975050	52084285	20	31683	105794.0975	13741.763	88	1
9_K27ac.rep1_peak_13142_lociStitched	chr11	114150773	114193294	9	18887	98091.6949	6850.1331	89	1
12_K27ac.rep1_peak_7270_lociStitched	chr10	17241141	17281552	12	25363	96824.756	5649.4578	90	1
18_K27ac.rep1_peak_56772_lociStitched	chr6	16674641	16771194	18	38817	103582.0584	13160.1739	91	1
16_K27ac.rep1_peak_24283_lociStitched	chr15	99395154	99458657	16	28961	97566.0092	7309.1953	92	1
24_K27ac.rep1_peak_63032_lociStitched	chr7	93996274	94056158	24	31759	98084.0036	8485.5628	93	1
12_K27ac.rep1_peak_53469_lociStitched	chr5	77797023	77847606	12	22954	96709.6377	7192.9026	94	1
31_K27ac.rep1_peak_68967_lociStitched	chr9	37934797	38064395	31	36707	98688.877	10652.9556	95	1
9_K27ac.rep1_peak_7255_lociStitched	chr10	17027733	17084750	9	19405	94939.0067	7110.0199	96	1
22_K27ac.rep1_peak_33068_lociStitched	chr2	9302955	9405287	22	35356	98238.72	10550.4292	97	1
15_K27ac.rep1_peak_55922_lociStitched	chr5	172184637	172258724	15	28792	93779.3246	7075.3085	98	1
6_K27ac.rep1_peak_55991_lociStitched	chr5	172878237	172907535	6	15741	90750.555	4186.6842	99	1
22_K27ac.rep1_peak_60702_lociStitched	chr6	166954690	167038285	22	27156	94846.887	9220.5285	100	1
15_K27ac.rep1_peak_63302_lociStitched	chr7	104583958	104658520	15	29960	94678.8276	9074.1954	101	1
11_K27ac.rep1_peak_14888_lociStitched	chr12	46756477	46801160	11	29122	91756.5405	6443.2886	102	1
8_K27ac.rep1_peak_64722_lociStitched	chr8	13208501	13235486	8	18541	88783.3485	3799.488	103	1
27_K27ac.rep1_peak_20938_lociStitched	chr14	72111707	72200729	27	33247	95858.8896	11412.6204	104	1
12_K27ac.rep1_peak_5877_lociStitched	chr1	218632612	218673711	12	18549	89238.2587	5704.5412	105	1
14_K27ac.rep1_peak_24379_lociStitched	chr15	101707280	101762590	14	25225	89486.049	6355.119	106	1
2_K27ac.rep1_peak_29523_lociStitched	chr18	3592697	3607566	2	10130	84283.4396	2062.3303	107	1
13_K27ac.rep1_peak_58948_lociStitched	chr6	112523373	112576622	13	29958	90342.2534	8557.1143	108	1
9_K27ac.rep1_peak_44702_lociStitched	chr3	71149147	71194239	9	17946	88538.142	6853.984	109	1
13_K27ac.rep1_peak_12770_lociStitched	chr11	95869927	95902779	13	20792	86459.8936	4865.3812	110	1
19_K27ac.rep1_peak_70077_lociStitched	chr9	112829615	112915733	19	29191	92266.8252	10713.0792	111	1
12_K27ac.rep1_peak_69686_lociStitched	chr9	97661857	97709066	12	23711	86392.47	5249.6408	112	1
12_K27ac.rep1_peak_69063_lociStitched	chr9	73148859	73224673	12	15268	90233.8228	9544.9826	113	1
7_K27ac.rep1_peak_17899_lociStitched	chr13	31419695	31455866	7	16341	85620.3741	5277.3489	114	1
12_K27ac.rep1_peak_33816_lociStitched	chr2	33431879	33468668	12	19229	85192.2873	6202.6254	115	1
10_K27ac.rep1_peak_53607_lociStitched	chr5	81680117	81718936	10	15935	84559.4277	5667.574	116	1
8_K27ac.rep1_peak_68470_lociStitched	chr9	18474007	18497129	8	17726	82164.027	3916.8668	117	1
22_K27ac.rep1_peak_34031_lociStitched	chr2	37992223	38114061	22	30674	93157.3348	14949.5226	118	1
4_K27ac.rep1_peak_6902_lociStitched	chr10	4282184	4302825	4	10517	81401.9117	3434.6624	119	1
24_K27ac.rep1_peak_13424_lociStitched	chr11	122975069	123069325	24	32982	87375.312	9680.0912	120	1
35_K27ac.rep1_peak_23011_lociStitched	chr15	63305214	63403711	35	40769	89770.1658	12154.5298	121	1
17_K27ac.rep1_peak_14255_lociStitched	chr12	15743611	15822954	17	22395	87880.3068	10758.9108	122	1
24_K27ac.rep1_peak_67412_lociStitched	chr8	123090730	123209428	24	34616	92738.7474	15798.7038	123	1
20_K27ac.rep1_peak_5280_lociStitched	chr1	201499328	201575217	20	33966	83849.7561	7452.2998	124	1
18_K27ac.rep1_peak_4545_lociStitched	chr1	170636156	170684270	18	32557	82674.2862	7188.2316	125	1
6_K27ac.rep1_peak_64074_lociStitched	chr7	137340699	137382211	6	16622	82525.856	7102.7032	126	1
17_K27ac.rep1_peak_21934_lociStitched	chr15	32951361	33040638	17	28298	85366.6674	9945.4578	127	1
20_K27ac.rep1_peak_39604_lociStitched	chr20	10536454	10652336	20	31388	90121.4314	14705.4258	128	1
10_K27ac.rep1_peak_70609_lociStitched	chr9	127014096	127072866	10	25568	79180.821	3767.157	129	1
15_K27ac.rep1_peak_43865_lociStitched	chr3	42055684	42123022	15	25709	81081.6858	6417.3114	130	1
7_K27ac.rep1_peak_28454_lociStitched	chr17	57902296	57933234	7	20933	78427.83	3792.9988	131	1
8_K27ac.rep1_peak_65252_lociStitched	chr8	26457519	26501275	8	15742	78935.824	4388.7268	132	1
8_K27ac.rep1_peak_14150_lociStitched	chr12	12868686	12913194	8	21721	78556.62	4125.8916	133	1
4_K27ac.rep1_peak_69047_lociStitched	chr9	73017808	73036792	4	15705	76955.4408	2541.9576	134	1
10_K27ac.rep1_peak_56557_lociStitched	chr6	11188187	11233741	10	22145	81218.2266	6805.7676	135	1
24_K27ac.rep1_peak_29204_lociStitched	chr17	76311243	76414962	24	32771	79345.035	5289.669	136	1
8_K27ac.rep1_peak_41079_lociStitched	chr21	28928492	28963976	8	17698	78735.4476	4701.63	137	1
3_K27ac.rep1_peak_42990_lociStitched	chr3	8484053	8503949	3	14046	77805.2976	3798.1464	138	1
11_K27ac.rep1_peak_55454_lociStitched	chr5	151038541	151080193	11	28028	78472.368	4952.4228	139	1
18_K27ac.rep1_peak_5260_lociStitched	chr1	201419561	201482580	18	25149	78654.0139	5457.4454	140	1
5_K27ac.rep1_peak_194_lociStitched	chr1	8432619	8473233	5	14244	77763.6258	4617.8118	141	1
9_K27ac.rep1_peak_62264_lociStitched	chr7	55119018	55155725	9	23286	78927.3914	5924.5098	142	1
14_K27ac.rep1_peak_46786_lociStitched	chr3	156467407	156539039	14	27834	82469.9216	9663.1568	143	1
10_K27ac.rep1_peak_54211_lociStitched	chr5	111262480	111305175	10	23230	79340.1185	6575.03	144	1
19_K27ac.rep1_peak_32109_lociStitched	chr19	39139764	39210555	19	29727	77225.9019	4558.9404	145	1
15_K27ac.rep1_peak_68566_lociStitched	chr9	21542343	21620269	15	26889	85679.637	13037.0198	146	1
9_K27ac.rep1_peak_4150_lociStitched	chr1	156065859	156100703	9	21739	75067.9136	3101.116	147	1
3_K27ac.rep1_peak_69679_lociStitched	chr9	97609348	97637900	3	15928	75517.1848	4057.2392	148	1
8_K27ac.rep1_peak_46179_lociStitched	chr3	134179212	134206562	8	16015	75048.4	3763.36	149	1
12_K27ac.rep1_peak_21697_lociStitched	chr14	102681074	102762478	12	24637	77244.2556	6137.8616	150	1
9_K27ac.rep1_peak_30358_lociStitched	chr18	46448344	46487502	9	32889	74607.7374	3555.5464	151	1
5_K27ac.rep1_peak_49179_lociStitched	chr4	67420076	67441883	5	14083	73483.0479	2909.0538	152	1
11_K27ac.rep1_peak_51826_lociStitched	chr5	366395	401949	11	20911	72473.2736	1980.3578	153	1
21_K27ac.rep1_peak_8317_lociStitched	chr10	63751790	63856044	21	27497	84810.629	14533.0076	154	1
20_K27ac.rep1_peak_22528_lociStitched	chr15	48647085	48768804	20	26506	87162.9759	16906.7691	155	1
11_K27ac.rep1_peak_22888_lociStitched	chr15	59585909	59643272	11	21929	75225.8382	4984.8447	156	1
14_K27ac.rep1_peak_44931_lociStitched	chr3	86985892	87046585	14	26533	79580.6616	9413.4843	157	1
12_K27ac.rep1_peak_14205_lociStitched	chr12	13324312	13377792	12	25063	77487.172	7476.504	158	1
13_K27ac.rep1_peak_51323_lociStitched	chr4	170121715	170206483	13	27018	80995.824	11002.8864	159	1
11_K27ac.rep1_peak_16440_lociStitched	chr12	94166395	94219952	11	21798	76623.9999	6699.9807	160	1
19_K27ac.rep1_peak_47108_lociStitched	chr3	171488784	171569480	19	22654	80389.3552	10861.6816	161	1
9_K27ac.rep1_peak_67696_lociStitched	chr8	129180227	129214931	9	13970	74530.3104	5111.8992	162	1
9_K27ac.rep1_peak_6282_lociStitched	chr1	230205229	230261572	9	18590	75313.6881	5899.1121	163	1
5_K27ac.rep1_peak_2754_lociStitched	chr1	86071872	86095999	5	13537	72465.4445	3710.7326	164	1
6_K27ac.rep1_peak_59193_lociStitched	chr6	121824447	121845777	6	12567	71336.052	2683.314	165	1
16_K27ac.rep1_peak_41793_lociStitched	chr21	47444773	47526466	16	27641	73801.4562	5252.8599	166	1
12_K27ac.rep1_peak_11003_lociStitched	chr11	27223240	27278327	12	19590	74813.6547	6274.4093	167	1
13_K27ac.rep1_peak_32066_lociStitched	chr19	38511741	38552783	13	21368	70727.6786	2491.2494	168	1
14_K27ac.rep1_peak_23462_lociStitched	chr15	71334445	71389658	14	17282	74250.4424	6139.6856	169	1
11_K27ac.rep1_peak_54408_lociStitched	chr5	121477203	121520219	11	19030	73570.2648	5622.1912	170	1
10_K27ac.rep1_peak_67677_lociStitched	chr8	128901808	128963465	10	24935	73858.9203	6480.1507	171	1
3_K27ac.rep1_peak_15667_lociStitched	chr12	65917183	65932766	3	10752	70441.3932	3183.6069	172	1
18_K27ac.rep1_peak_20794_lociStitched	chr14	69501054	69572180	18	23944	75535.812	8520.8948	173	1
13_K27ac.rep1_peak_51238_lociStitched	chr4	169525416	169572694	13	20493	73748.9522	6845.8544	174	1
32_K27ac.rep1_peak_33884_lociStitched	chr2	36556245	36639734	32	32067	77018.6025	10569.7074	175	1
14_K27ac.rep1_peak_47082_lociStitched	chr3	170407062	170478713	14	24931	75491.4936	9622.7293	176	1
23_K27ac.rep1_peak_40736_lociStitched	chr20	52482213	52576901	23	28039	75049.7088	9307.8304	177	1
6_K27ac.rep1_peak_65574_lociStitched	chr8	38239881	38269706	6	19055	68788.38	3355.3125	178	1
24_K27ac.rep1_peak_71907_lociStitched	chrX	45600884	45669074	24	30011	73583.829	8203.257	179	1
9_K27ac.rep1_peak_60226_lociStitched	chr6	151356784	151393481	9	17855	68583.0233	3284.3815	180	1
10_K27ac.rep1_peak_39204_lociStitched	chr2	239329249	239351770	10	19203	66869.3532	1580.9742	181	1
11_K27ac.rep1_peak_41362_lociStitched	chr21	36167265	36219298	11	16414	71992.8588	7175.3507	182	1
15_K27ac.rep1_peak_11866_lociStitched	chr11	65184038	65223226	15	22412	68465.3548	3903.1248	183	1
8_K27ac.rep1_peak_40435_lociStitched	chr20	45943449	45990216	8	24321	68508.9783	4124.8494	184	1
10_K27ac.rep1_peak_32052_lociStitched	chr19	38444039	38496771	10	14922	68356.4916	3981.266	185	1
11_K27ac.rep1_peak_7430_lociStitched	chr10	24723957	24757498	11	16998	69138.0633	4819.8417	186	1
6_K27ac.rep1_peak_47620_lociStitched	chr3	187978494	188016068	6	18792	69624.622	5628.5852	187	1
5_K27ac.rep1_peak_57529_lociStitched	chr6	37204598	37219675	5	10297	66367.4463	2484.6896	188	1
13_K27ac.rep1_peak_34743_lociStitched	chr2	56088450	56119118	13	20747	68653.3848	4775.0076	189	1
7_K27ac.rep1_peak_61935_lociStitched	chr7	41719315	41750598	7	20289	68243.8645	4545.4199	190	1
20_K27ac.rep1_peak_55384_lociStitched	chr5	149848915	149903922	20	29086	67515.5918	3894.4956	191	1
9_K27ac.rep1_peak_46495_lociStitched	chr3	149089115	149120320	9	14449	68551.144	5008.4025	192	1
10_K27ac.rep1_peak_53873_lociStitched	chr5	95170044	95206655	10	14955	67730.35	4462.8809	193	1
38_K27ac.rep1_peak_28686_lociStitched	chr17	62604168	62744841	38	34741	72559.1334	9650.1678	194	1
10_K27ac.rep1_peak_10131_lociStitched	chr10	127730508	127782036	10	16016	69011.4504	6327.6384	195	1
27_K27ac.rep1_peak_49785_lociStitched	chr4	95427872	95510421	27	29679	74244.5706	11944.8403	196	1
7_K27ac.rep1_peak_59499_lociStitched	chr6	132451318	132476057	7	11262	66003.652	4079.4611	197	1
11_K27ac.rep1_peak_20162_lociStitched	chr14	52490218	52548976	11	20297	69316.8126	7403.508	198	1
11_K27ac.rep1_peak_66107_lociStitched	chr8	67418661	67449180	11	15513	65817.2754	4043.7675	199	1
7_K27ac.rep1_peak_3220_lociStitched	chr1	101050859	101109622	7	15263	67824.2546	6134.8572	200	1
6_K27ac.rep1_peak_60996_lociStitched	chr7	6285170	6302205	6	14590	63872.7325	2228.178	201	1
26_K27ac.rep1_peak_56113_lociStitched	chr5	178686346	178754371	26	23641	65154.345	3891.03	202	1
7_K27ac.rep1_peak_38105_lociStitched	chr2	206549819	206579776	7	18290	66225.9399	5008.8104	203	1
17_K27ac.rep1_peak_66002_lociStitched	chr8	59739450	59808583	17	26031	70840.5851	10045.0249	204	1
2_K27ac.rep1_peak_61951_lociStitched	chr7	41950239	41970913	2	10022	64356.0946	3754.3984	205	1
10_K27ac.rep1_peak_22170_lociStitched	chr15	39156332	39192121	10	17096	65740.8141	5192.9839	206	1
10_K27ac.rep1_peak_61941_lociStitched	chr7	41895794	41932694	10	17949	66545.46	6121.71	207	1
8_K27ac.rep1_peak_25423_lociStitched	chr16	55504403	55537595	8	21897	64365.9264	4059.3816	208	1
10_K27ac.rep1_peak_3760_lociStitched	chr1	145113457	145165007	10	12301	64071.495	4046.675	209	1
17_K27ac.rep1_peak_37741_lociStitched	chr2	197096875	197159986	17	25660	67528.77	7598.5644	210	1
20_K27ac.rep1_peak_768_lociStitched	chr1	22222734	22267192	20	30971	62361.2366	2903.1074	211	1
14_K27ac.rep1_peak_62949_lociStitched	chr7	92346165	92398799	14	21789	66160.938	7000.322	212	1
11_K27ac.rep1_peak_37471_lociStitched	chr2	189950561	189997844	11	18559	66219.8415	7087.7217	213	1
17_K27ac.rep1_peak_39168_lociStitched	chr2	238571644	238653686	17	24363	66298.1402	7761.1732	214	1
22_K27ac.rep1_peak_51461_lociStitched	chr4	177647677	177716847	22	23071	67558.339	9227.278	215	1
11_K27ac.rep1_peak_24350_lociStitched	chr15	101226317	101274632	11	16794	63954.5655	5725.3275	216	1
9_K27ac.rep1_peak_18830_lociStitched	chr13	74758181	74801948	9	12893	63580.3209	5554.0323	217	1
13_K27ac.rep1_peak_62284_lociStitched	chr7	55172276	55228974	13	17762	64630.0502	6990.8634	218	1
10_K27ac.rep1_peak_65618_lociStitched	chr8	38749182	38797468	10	20150	61299.077	3732.5078	219	1
10_K27ac.rep1_peak_53474_lociStitched	chr5	77862606	77907662	10	18468	62407.0656	4857.0368	220	1
10_K27ac.rep1_peak_19173_lociStitched	chr13	99094920	99140888	10	17944	61422.4416	3907.28	221	1
21_K27ac.rep1_peak_65148_lociStitched	chr8	25031640	25134574	21	27742	67740.8654	10324.2802	222	1
20_K27ac.rep1_peak_5867_lociStitched	chr1	218518186	218600326	20	26311	67675.146	10554.99	223	1
8_K27ac.rep1_peak_34421_lociStitched	chr2	46526161	46565212	8	15656	62153.5716	5061.0096	224	1
11_K27ac.rep1_peak_46406_lociStitched	chr3	145834840	145885461	11	18968	63559.7276	6489.6122	225	1
4_K27ac.rep1_peak_59599_lociStitched	chr6	134737466	134770475	4	12793	60980.8266	3987.4872	226	1
13_K27ac.rep1_peak_23424_lociStitched	chr15	71050966	71095651	13	21902	61138.017	4236.138	227	1
10_K27ac.rep1_peak_40365_lociStitched	chr20	43951754	43989225	10	17632	59916.129	3256.2299	228	1
12_K27ac.rep1_peak_15080_lociStitched	chr12	50577554	50616903	12	18346	60428.2593	3785.3738	229	1
5_K27ac.rep1_peak_836_lociStitched	chr1	23881504	23913114	5	15786	59376.224	3189.449	230	1
5_K27ac.rep1_peak_3750_lociStitched	chr1	145083110	145099392	5	10681	61679.4724	5610.7772	231	1
5_K27ac.rep1_peak_38296_lociStitched	chr2	216391479	216414300	5	11333	59361.9852	3429.9963	232	1
3_K27ac.rep1_peak_40296_lociStitched	chr20	43119659	43131325	3	8926	57394.3868	1515.4134	233	1
6_K27ac.rep1_peak_34155_lociStitched	chr2	40313470	40333739	6	11819	59122.6461	3405.192	234	1
14_K27ac.rep1_peak_30022_lociStitched	chr18	25641820	25704591	14	18742	64302.6124	8976.253	235	1
20_K27ac.rep1_peak_35102_lociStitched	chr2	69340463	69424589	20	23072	64718.1318	9481.0002	236	1
6_K27ac.rep1_peak_58118_lociStitched	chr6	57106527	57133356	6	13620	58146.4917	2916.3123	237	1
16_K27ac.rep1_peak_11118_lociStitched	chr11	29303338	29359347	16	24370	61744.3216	6777.089	238	1
6_K27ac.rep1_peak_45642_lociStitched	chr3	115502351	115527721	6	12089	57521.401	2646.091	239	1
9_K27ac.rep1_peak_25004_lociStitched	chr16	24987713	25032330	9	16663	59733.2396	4903.4083	240	1
6_K27ac.rep1_peak_59838_lociStitched	chr6	140364046	140401249	6	16440	59766.6195	5141.4546	241	1
15_K27ac.rep1_peak_41929_lociStitched	chr22	20864888	20925630	15	22792	58561.3622	4172.9754	242	1
5_K27ac.rep1_peak_42960_lociStitched	chr3	5018139	5038175	5	14589	56142.8756	1755.1536	243	1
12_K27ac.rep1_peak_43992_lociStitched	chr3	45676740	45710683	12	14586	57513.0192	3146.5161	244	1
5_K27ac.rep1_peak_28837_lociStitched	chr17	66373478	66396849	5	11443	56798.5413	2549.7761	245	1
22_K27ac.rep1_peak_52054_lociStitched	chr5	14397459	14477755	22	26149	64839.02	10639.22	246	1
9_K27ac.rep1_peak_66180_lociStitched	chr8	69878765	69921564	9	13208	58715.9481	4545.2538	247	1
5_K27ac.rep1_peak_52879_lociStitched	chr5	56728763	56748181	5	14205	56853.9622	2802.0174	248	1
